Division,District ,Year,Month,Total,ANC1(%),ANC2(%),ANC3(%),ANC4(%),ANC1,ANC2,ANC3,ANC4,Delivery,NVD(%),Ceasarean(%),NVD,Ceasarean,Total Death,Maternal Death(%),Maternal Death,Maternal Death Review,Total PNC,PNC1(%),PNC2(%),PNC1,PNC2
Sylhet  ,Sunamganj,2024,January,2442,45.12694513,21.08927109,14.78296478,19.000819,1102,515,361,464,1087,91.90432383,7.359705612,999,80,0,0,0,0,1549,61.78179471,38.21820529,957,592
Sylhet  ,Sunamganj,2024,February,1250,0,40.8,28.48,30.72,0,510,356,384,907,91.73098126,7.166482911,832,65,0,0,0,0,1178,64.68590832,35.31409168,762,416
Sylhet  ,Sunamganj,2024,March,2320,48.40517241,23.8362069,14.78448276,12.97413793,1123,553,343,301,865,91.79190751,7.398843931,794,64,0,0,0,0,1169,55.60307956,44.39692044,650,519
Sylhet  ,Sunamganj,2024,April,2148,49.30167598,22.53258845,13.59404097,14.5716946,1059,484,292,313,779,91.14249037,8.215661104,710,64,2,50,1,1,1150,63.39130435,36.60869565,729,421
Sylhet  ,Sunamganj,2024,May,2191,45.09356458,23.96166134,14.19443177,16.75034231,988,525,311,367,680,91.32352941,8.088235294,621,55,4,50,2,2,1052,65.11406844,34.88593156,685,367
Sylhet  ,Sunamganj,2024,June,2477,47.1538151,22.08316512,14.85668147,15.90633831,1168,547,368,394,678,90.41297935,8.259587021,613,56,0,0,0,0,1101,59.30971844,40.69028156,653,448
Sylhet  ,Sunamganj,2024,July,2912,47.32142857,23.9010989,14.11401099,14.66346154,1378,696,411,427,799,91.73967459,7.008760951,733,56,1,100,1,0,1134,61.72839506,38.27160494,700,434
Sylhet  ,Sunamganj,2024,August,2665,44.20262664,26.19136961,13.50844278,16.09756098,1178,698,360,429,983,91.45473042,7.324516785,899,72,0,0,0,0,1579,56.68144395,43.31855605,895,684
Sylhet  ,Sunamganj,2024,September,2790,41.7921147,25.80645161,15.19713262,17.20430108,1166,720,424,480,1052,93.15589354,5.703422053,980,60,2,50,1,1,1622,58.93958076,41.06041924,956,666
Sylhet  ,Sunamganj,2024,October,2992,43.31550802,22.29278075,15.50802139,18.88368984,1296,667,464,565,1104,90.48913043,7.518115942,999,83,4,50,2,2,1608,63.93034826,36.06965174,1028,580
Sylhet  ,Sunamganj,2024,November,2959,41.19635012,24.33254478,15.7485637,18.7225414,1219,720,466,554,1075,91.90697674,7.162790698,988,77,0,0,0,0,1794,59.86622074,40.13377926,1074,720
